comment_id,parent_post_id,tech_tag,label,compound
nur8mw1,1pq34ur,AI,Neutral,0.0
nur9o1b,1pq34ur,AI,Positive,0.4877
nurbx3m,1pq34ur,AI,Positive,0.7171
nur98hr,1pq34ur,AI,Negative,-0.8888
nura17r,1pq34ur,AI,Positive,0.1531
nurdfyl,1pq34ur,AI,Negative,-0.8688
nurngek,1pq34ur,AI,Negative,-0.8706
nurc40y,1pq34ur,AI,Neutral,0.0
nurdsr3,1pq34ur,AI,Positive,0.1406
nur8zkx,1pq34ur,AI,Positive,0.34
nure07z,1pq34ur,AI,Positive,0.6124
nurhcl1,1pq34ur,AI,Positive,0.9091
nurm4py,1pq34ur,AI,Positive,0.3612
nutddft,1pq34ur,AI,Positive,0.2023
nurafop,1pq34ur,AI,Neutral,0.0
nurfj0w,1pq34ur,AI,Neutral,0.0
nurtc8k,1pq34ur,AI,Negative,-0.7828
nusvjsi,1pq34ur,AI,Positive,0.9826
nuw234v,1pq34ur,AI,Positive,0.2838
nurjwcg,1pq34ur,AI,Positive,0.8381
n8h4p1d,1mp66us,AI,Negative,-0.7351
n8h4vzb,1mp66us,AI,Positive,0.2617
n8hacnl,1mp66us,AI,Positive,0.4019
n8h465m,1mp66us,AI,Neutral,0.0
n8h84h5,1mp66us,AI,Negative,-0.1306
n8i9unz,1mp66us,AI,Positive,0.0516
n8hbbor,1mp66us,AI,Negative,-0.2263
n8hgemn,1mp66us,AI,Positive,0.787
n8h5qa6,1mp66us,AI,Positive,0.4574
n8h4gix,1mp66us,AI,Negative,-0.1926
n8k42fi,1mp66us,AI,Negative,-0.5106
n8hxj4q,1mp66us,AI,Negative,-0.6342
n8jihkg,1mp66us,AI,Negative,-0.296
n8ka6a5,1mp66us,AI,Negative,-0.8126
n8h60cu,1mp66us,AI,Positive,0.4019
n8haivd,1mp66us,AI,Positive,0.4215
n8ivzn5,1mp66us,AI,Positive,0.4404
n8k3781,1mp66us,AI,Positive,0.7958
n8kc3bd,1mp66us,AI,Neutral,0.0
n8kfoxu,1mp66us,AI,Negative,-0.6808
nbnmkwh,1n4twq1,AI,Positive,0.9092
nbnmpsv,1n4twq1,AI,Positive,0.4939
nbnlwg2,1n4twq1,AI,Positive,0.9553
nbnluwb,1n4twq1,AI,Neutral,0.0
nbnovkd,1n4twq1,AI,Neutral,0.0046
nbnlwyh,1n4twq1,AI,Negative,-0.264
nbnm40b,1n4twq1,AI,Neutral,0.0
nbnmfrr,1n4twq1,AI,Positive,0.888
nbnnwu8,1n4twq1,AI,Negative,-0.8146
nbnnafp,1n4twq1,AI,Neutral,0.0
nbnly0m,1n4twq1,AI,Negative,-0.5661
nbo9ak5,1n4twq1,AI,Positive,0.2732
nbo9h6t,1n4twq1,AI,Positive,0.7783
nbnlejc,1n4twq1,AI,Positive,0.8834
nbnmc2o,1n4twq1,AI,Neutral,0.0
nbnov2w,1n4twq1,AI,Negative,-0.9065
nbnp6ah,1n4twq1,AI,Positive,0.6142
nbnu1z8,1n4twq1,AI,Positive,0.4215
nbqvpab,1n4twq1,AI,Positive,0.6133
nbno158,1n4twq1,AI,Positive,0.6597
n5yks2c,1mcyhlz,AI,Positive,0.7184
n5yb79t,1mcyhlz,AI,Positive,0.8151
n5xy5af,1mcyhlz,AI,Positive,0.6966
n5y73d8,1mcyhlz,AI,Positive,0.4215
n5yx9ci,1mcyhlz,AI,Neutral,0.0
n5z3l4h,1mcyhlz,AI,Positive,0.7003
n5yh18j,1mcyhlz,AI,Neutral,0.0
n5yh7ig,1mcyhlz,AI,Negative,-0.1779
n5yoj12,1mcyhlz,AI,Neutral,0.0
