post_id,tech_tag,barriers
1pq34ur,AI,Integration problems; Performance limitations; Training / skill gap
1mcyhlz,AI,
1mi4kwh,AI,Cost concerns; Performance limitations; Training / skill gap
1qjrxul,AI,Performance limitations
1h28uho,AI,
1qpugsz,AI,
1n4tgf8,AI,Cost concerns; Performance limitations
1koxp4b,AI,
1ljntln,AI,Cost concerns; Performance limitations; Training / skill gap
1j45aju,AI,
1el7jn1,AI,
1cu00f4,AI,
1dpewu3,AI,
1gp14kf,AI,
1cceb7d,AI,
1bc7s0x,AI,
1bvw5cl,AI,
1l38h3c,AM_3Dprinting,Cost concerns; Performance limitations; Regulatory / compliance; Training / skill gap
1ik12q3,AM_3Dprinting,Performance limitations
1kudvx8,AM_3Dprinting,
1jcn8t6,AM_3Dprinting,
1mqk02q,AM_3Dprinting,Cost concerns
1hdam20,AM_3Dprinting,
1mwo879,AM_3Dprinting,
1myhopx,AM_3Dprinting,
1gk4273,AM_3Dprinting,Performance limitations
1l9v674,AM_3Dprinting,
1fjfrk0,AM_3Dprinting,
1imx723,BIM,
1rb1j71,BIM,
1qntxas,BIM,
1n6gvy6,BIM,
1nbl0k5,BIM,
1l6iq0m,BIM,
1ivjdg3,BIM,
1i3wqpg,BIM,
1i4zcj6,BIM,Training / skill gap
1g215er,BIM,
1he0jpu,BIM,
1ekb9if,BIM,
1f79c7c,BIM,
1dsltbb,BIM,
1bnjuu4,BIM,Performance limitations; Training / skill gap
1bly3xr,BIM,
1bk55ik,BIM,Training / skill gap
1bosx1o,BIM,
1bfj561,Prefabrication,
1kltufj,Prefabrication,Cost concerns
1n4ko60,Prefabrication,
1c854v3,Prefabrication,
1c3skl5,Prefabrication,
1kb2sc1,Prefabrication,
1g2uiiw,Prefabrication,Cost concerns
1ob3rit,RFID,Performance limitations
1r2g9hs,RFID,
1pld5na,UAV,Cost concerns; Integration problems; Performance limitations
1hhwhcp,UAV,Cost concerns; Performance limitations; Training / skill gap
1hto3qw,UAV,Cost concerns
1q9pt2u,UAV,Regulatory / compliance
1qoe1n2,UAV,
1q2qbg1,UAV,
1qvuuhd,UAV,
1p5cstm,UAV,
1nb6xao,UAV,Cost concerns
1h2ig17,UAV,Performance limitations; Regulatory / compliance; Training / skill gap
1hn6pye,UAV,Regulatory / compliance
1j9jxz1,UAV,
1ju5bad,UAV,
1q3ww6v,XR,Training / skill gap
1q1sj9b,XR,Cost concerns; Performance limitations; ROI uncertainty; Training / skill gap
1enitjr,XR,
1ms9tiu,XR,
1ik316p,XR,
1d0ij08,IoT,
1hohlj3,IoT,
1cr63np,IoT,
1l8em69,Simulation,
1nnkese,Simulation,
1e7ypx4,Simulation,
1q0klq5,Computational Fluid Dynamics,
1fi7lej,Computational Fluid Dynamics,
1cwzibh,Computational Fluid Dynamics,
1k8bv0p,Digital Twins,
1k8bzap,Digital Twins,
1lec6wj,Digital Twins,
1jhub55,Generative Design,Cost concerns; ROI uncertainty
1ofa45g,Parametric Design,Regulatory / compliance
1dbt6lg,Parametric Design,
1davxpo,Parametric Design,
1mslpvs,SHM (Structural Health Monitoring),Integration problems; Performance limitations
1de4t0c,SHM (Structural Health Monitoring),Cost concerns; ROI uncertainty
1j1vre5,Blockchain,Cost concerns; Performance limitations; Training / skill gap
1m6wgsq,Big Data,
1jilv52,IoT,
1f3wyj6,IoT,Cost concerns; Performance limitations; Regulatory / compliance
1be3uj2,IoT,
1mu4y0b,Geographic Information Systems (GIS),Performance limitations
1pxcg8n,Geographic Information Systems (GIS),Interoperability; Performance limitations; ROI uncertainty
1qse1oy,Geographic Information Systems (GIS),
1qylp0b,Geographic Information Systems (GIS),
1qb1xb5,Geographic Information Systems (GIS),Integration problems; Performance limitations
1lgo2gw,Geographic Information Systems (GIS),
1mkwvwz,Geographic Information Systems (GIS),Training / skill gap
1k89roy,Geographic Information Systems (GIS),
1l9mla8,Geographic Information Systems (GIS),
1lkjaea,Geographic Information Systems (GIS),
1l8ehe3,Geographic Information Systems (GIS),
1qq720e,Prefabrication,
1i2p7h1,Prefabrication,
1c3smz1,Prefabrication,
1ik0p71,Prefabrication,Performance limitations
1i8vwff,Prefabrication,
1cujlp8,Prefabrication,Cost concerns
1f6ieaj,Prefabrication,Regulatory / compliance
1b7pk9y,Prefabrication,Cost concerns
1cb4l29,Prefabrication,
1lqyvm3,Simulation,
1hnwpc8,Simulation,Training / skill gap
1dl0pop,Simulation,
1fruot1,Simulation,
1r7e4w1,Simulation,Performance limitations; Training / skill gap
1r7vvs9,Simulation,Cost concerns; Integration problems; Interoperability; Performance limitations; Training / skill gap
1r6y8i2,Simulation,
1qcth06,Simulation,
1ov5a47,Simulation,Performance limitations; Training / skill gap
1ph3rva,Simulation,
1p9074m,Simulation,
1q2gai5,Simulation,
1peswkz,Simulation,
1pc9hry,Simulation,
1owybc5,Simulation,
1p3of2d,Simulation,
1p1o73x,Simulation,
1os1v2n,Simulation,
1o76rir,Simulation,
1oh7p4d,Simulation,
1karipx,Simulation,
1nel89a,Simulation,Cost concerns
1p4u6ej,AM_3Dprinting,Cost concerns; ROI uncertainty; Regulatory / compliance
1ozhy7l,AM_3Dprinting,
1inc1tl,AM_3Dprinting,
1hw0wr8,AM_3Dprinting,Cost concerns; Regulatory / compliance
1hbup8r,AM_3Dprinting,
1f8ua0t,AM_3Dprinting,
1olvrue,AM_3Dprinting,
1bama3z,AM_3Dprinting,
1nzexr7,BIM,
1mtou0t,BIM,
1k64foq,BIM,
1durllj,BIM,
1qx81bu,BIM,Cost concerns; Performance limitations; ROI uncertainty
1qfgpv1,BIM,
1q1wgde,BIM,
1q6eitv,BIM,Training / skill gap
1pchn7s,BIM,
1ojv46p,BIM,Cost concerns
1pf635f,BIM,
1plc3tj,BIM,
1oj1xoe,BIM,
1pizxm6,BIM,
1p3rowa,BIM,
1o5q13w,BIM,Cost concerns; ROI uncertainty
1oxocjp,BIM,
1otcyrr,BIM,
1o84lfr,BIM,
1n6gu2z,BIM,
1lbeoee,BIM,
1nsfckm,BIM,
1nv4w3t,BIM,
1n6h3lp,BIM,
1m0nbyx,BIM,Training / skill gap
1mbmbn2,BIM,
1mcxsoc,BIM,Regulatory / compliance
1ooj9js,XR,Cost concerns; Training / skill gap; Vendor lock-in
1hve6yb,XR,
1fxe50n,XR,
1pu2om5,UAV,Performance limitations
1cchmvk,UAV,
1qgg7yj,UAV,Performance limitations; Regulatory / compliance; Training / skill gap
1qxcnqx,UAV,Integration problems; Performance limitations
1l5q4hp,UAV,Regulatory / compliance
1nc83cw,UAV,
1l1zk8k,UAV,
1l15eyx,UAV,
1g0oblp,UAV,Cost concerns; Integration problems; Performance limitations
1q3pr7l,AI,Training / skill gap
1me2i5k,AI,Regulatory / compliance
1jiibez,AI,
1pibrkg,AI,
1pjt2kl,AI,Performance limitations; ROI uncertainty; Regulatory / compliance; Training / skill gap
1r8oowu,AI,
1qkpoj0,AI,Performance limitations; Regulatory / compliance
1qsfs5f,AI,
1qk3u69,AI,
1qj8otl,AI,Cost concerns; Performance limitations; Training / skill gap
1q31lii,AI,
1pwyjh4,AI,Training / skill gap
1lie9dk,AI,Cost concerns; ROI uncertainty; Training / skill gap
1qaasi0,AI,
1kwa0lf,AI,
1qixmhj,AI,
1qnpe7y,AI,
1pfkp0x,AI,Regulatory / compliance
1r1mr4w,AI,
1p0r50z,AI,Cost concerns
1qj8qeh,AI,
1gmi8u7,AI,Performance limitations; Regulatory / compliance; Training / skill gap
1nazwil,AI,Regulatory / compliance
1me3ejp,AI,
1my4zh4,AI,
1mem3tj,AI,Cost concerns; Performance limitations; Training / skill gap
1clhaj7,AI,
1hgbl1c,AI,
1ngt13p,AI,
1m2rzid,AI,Training / skill gap
1mwhx7i,AI,
1l0i4bi,AI,
1l4b5h6,AI,
1kd8ee6,AI,Performance limitations; Regulatory / compliance
1j115em,AI,
1k0esg2,AI,Performance limitations; Regulatory / compliance; Training / skill gap
1jeqv4s,AI,
1i9k150,AI,
1epahv0,AI,
1eczzqc,Cloud Computing,Integration problems; Interoperability; Performance limitations
1lugd7w,Digital Fabrication,
1hx7v8o,Digital Fabrication,
1jaltni,Digital Fabrication,
1e9lnia,Generative Design,
1mf3a2y,Parametric Design,
1eyjp4n,Parametric Design,
1oh8e4s,Parametric Design,
1qutq9w,Parametric Design,Cost concerns; Training / skill gap
1hvt1nu,Parametric Design,
1hrczqp,Parametric Design,
1f7uyih,Parametric Design,
1dgljc8,Parametric Design,Cost concerns; Training / skill gap
1kgmb9b,Digital Twins,Cost concerns; ROI uncertainty; Training / skill gap
1hh6n5l,Prefabrication,
1mpsh53,Prefabrication,Cost concerns
1ljjgu0,Prefabrication,
1j9fo85,Prefabrication,
1huulf0,Prefabrication,
1fxgee8,Prefabrication,
1cnzti1,Prefabrication,
1bxojcv,Prefabrication,Performance limitations
1q3jsk2,AM_3Dprinting,
1qfrb58,AM_3Dprinting,Cost concerns; ROI uncertainty
1plhkfx,AM_3Dprinting,Cost concerns
1qkhjc3,AM_3Dprinting,
1iqca8x,AM_3Dprinting,
1bviuvk,AM_3Dprinting,
1janpjt,XR,
1ie2my3,XR,
1jifbuj,XR,
1gxwl21,XR,
1icdjl5,UAV,Cost concerns; Performance limitations
1qk6ig0,Geographic Information Systems (GIS),
1lvrjur,Geographic Information Systems (GIS),Integration problems
1r7owy7,Geographic Information Systems (GIS),
1d0dpc6,Geographic Information Systems (GIS),
1lw0w2a,BIM,Cost concerns; Training / skill gap
1lt8m1x,BIM,
1m2kv8y,BIM,
1hhpmim,BIM,
1pdmv1u,BIM,Performance limitations
1ov5ezq,BIM,
1q61xmz,BIM,
1quy04l,BIM,Training / skill gap
1podhli,BIM,
1r6twv4,BIM,
1qwxims,BIM,Training / skill gap
1qdeml6,BIM,
1qkca93,BIM,
1qh28oe,BIM,
1hzswil,BIM,
1q8pzp7,BIM,ROI uncertainty; Training / skill gap
1o4ub2i,BIM,
1p6r3ny,BIM,
1l30l8r,BIM,Integration problems; Interoperability; Performance limitations
1mfhav0,BIM,
1oj7zz0,BIM,
1m1ftlu,BIM,
1lwyi3r,BIM,Training / skill gap
1k342sp,BIM,Training / skill gap
1exxby3,BIM,Integration problems; Interoperability; Performance limitations
1l8sj0u,BIM,
1kwwo8l,BIM,Integration problems
1jryrz7,BIM,Cost concerns; Training / skill gap
1g1yv4u,BIM,
1fum4iq,BIM,
1i9tzk4,BIM,
1hq1g2l,BIM,Cost concerns; Training / skill gap
1eogtst,BIM,
1fltvon,BIM,
1bfyrmv,Simulation,
1o53nuc,AI,ROI uncertainty
1pcvris,AI,Training / skill gap
1nqr9er,AI,
1krn9vd,AI,Training / skill gap
1ioa1gv,AI,Training / skill gap
1hv8kmu,AI,Integration problems; Interoperability; Training / skill gap
1f9yalb,AI,
1kmhj9l,AI,Training / skill gap
1eyvg1h,AI,
1eanyam,AI,
1eijmkh,AI,
1cwq4nh,AI,
1ds0lmb,AI,
1qzxwv5,SHM (Structural Health Monitoring),Cost concerns; Integration problems; Interoperability; Performance limitations; Training / skill gap
1fwcmq2,Generative Design,
1betmw5,Generative Design,
1ootrp7,Digital Twins,
1pencro,Digital Twins,Integration problems; ROI uncertainty; Training / skill gap
1raweqq,Digital Twins,Cost concerns; Performance limitations; Training / skill gap
1mx7578,Digital Twins,Cost concerns; Integration problems; Performance limitations
1mccr62,Digital Twins,Performance limitations
1m1pmy7,Digital Twins,
1m8cnfc,Digital Twins,
1fayufd,Digital Twins,
1kbpe48,Digital Twins,Integration problems
1m1vudc,Digital Twins,
1djcwyd,Digital Twins,Integration problems; Performance limitations
1kdt4ng,Digital Twins,Training / skill gap
1c5w2zm,Digital Twins,Integration problems; Interoperability; Training / skill gap
1cgeynb,Digital Twins,
1kqfsu9,Big Data,Training / skill gap
1elnxuo,Big Data,Training / skill gap
1gg4mnr,Big Data,
1gg72oi,Big Data,
1o26ft4,Big Data,ROI uncertainty; Training / skill gap
1htsrc2,IoT,
1m96t9t,IoT,Performance limitations; ROI uncertainty; Training / skill gap
1m93ul7,IoT,
1dv56zh,IoT,
1ltgorn,Parametric Design,
1pc114q,AM_3Dprinting,Training / skill gap
1l2qbd8,Prefabrication,Integration problems
1dx9skq,UAV,Integration problems; Performance limitations; Training / skill gap
1of77he,Geographic Information Systems (GIS),
1ensdit,XR,Training / skill gap
1kuu056,XR,
1jo6uij,XR,
1dc7uz7,XR,Cost concerns; Integration problems; Training / skill gap
1ff4ybd,XR,
1oh7nwc,Simulation,
1mswczi,Simulation,Cost concerns
1k95ssh,Simulation,
1gvght5,Simulation,Cost concerns; Integration problems; Training / skill gap
1k6qivw,Simulation,
1hzbdo5,Simulation,
1es3wg3,Simulation,
1lsxq1n,BIM,Training / skill gap
1mcstvf,BIM,
1i6h9l8,BIM,
1k64emz,BIM,
1fpwamb,BIM,Training / skill gap
1cfycuz,BIM,
1durf2g,BIM,
1hhpn6i,BIM,
1o9z2qz,BIM,Interoperability; Training / skill gap
1puky4w,BIM,Interoperability; Performance limitations; Vendor lock-in
1r7bpld,BIM,Interoperability; Performance limitations; Training / skill gap
1qj7830,BIM,
1qvlajy,BIM,
1kx413m,BIM,Cost concerns; ROI uncertainty
1qgbyfa,AI,
1n5atyt,AI,
1jelv6m,AI,Cost concerns; Interoperability; Training / skill gap
1h0zevx,AI,
1p7y5mn,AI,
1hy497i,AI,
